абажур,абажур,а-ба-жур
аббат,аббат,аб-бат
аббревиатура,абривийатура,аб-ри-ви-йа-ту-ра
аберрация,абирратсейә,а-бир-рат-се-йә
абзац,абзас,аб-зас
абиссинияле,абиссинийәле,а-бис-си-ни-йә-ле
абитуриент,абитурийент,а-би-ту-ри-йент
абонемент,абаниминт,а-ба-ни-минт
абонент,абанинт,а-ба-нинт
абордаж,абардаж,а-бар-даж
абориген,абаригин,а-ба-ри-гин
аборт,абурт,а-бурт
абразив,абразиф,аб-ра-зиф
абрек,абрик,аб-рик
абрикос,абрикүс,аб-ри-күс
абсолют,абсалүт,аб-са-лүт
абсолютизм,абсалүтизым,аб-са-лү-ти-зым
абсолютист,абсалүтис,аб-са-лү-тис
абсорбер,абсурбер,аб-сур-бер
абсорбция,абсурыбсийә,аб-су-рыб-си-йә
абстракт,абыстракет,а-быс-тра-кет
абстрактла,абыстракетла,а-быс-тра-кет-ла
абстракция,абыстрәксийә,а-быс-трәк-си-йә
абсурд,абсурт,аб-сурт
абсцесс,абыссис,а-быс-сис
абсцисса,абыссисса,а-быс-сис-са
авангард,авангарт,а-ван-гарт
авангардизм,авангардизым,а-ван-гар-ди-зым
авангардист,авангардис,а-ван-гар-дис
аванпост,аванпус,а-ван-пус
аванс,аваныс,а-ва-ныс
авансла,аванысла,а-ва-ныс-ла
авансцена,аваныссина,а-ва-ныс-си-на
авантюра,авантйүра,а-ван-тйү-ра
авантюризм,авантйүризым,а-ван-тйү-ри-зым
авантюрист,авантйүрис,а-ван-тйү-рис
авантюристик,авантйүристик,а-ван-тйү-рис-тик
авар,авар,а-вар
авария,аварийә,а-ва-ри-йә
авгур,авгур,ав-гур
август,авгус,ав-гус
авеню,авинйү,а-ви-нйү
авиа,авийа,а-ви-йа
авиабаза,авйабаза,ав-йа-ба-за
авиабензин,авйабинзин,ав-йа-бин-зин
авиабомба,авйабумба,ав-йа-бум-ба
авиадвигатель,авйадвигәтел,ав-йа-дви-гә-тел
авиадесант,авйадисант,ав-йа-ди-сант
авиазавод,авйазавут,ав-йа-за-вут
авиаклуб,авйәклуп,ав-йә-клуп
авиакомпания,авйакампанийә,ав-йа-кам-па-ни-йә
авиаконструктор,авйаканыструктыр,ав-йа-ка-ныс-трук-тыр
авиалайнер,авйалайнир,ав-йа-лай-нир
авиалиния,авйалинийә,ав-йа-ли-ни-йә
авиамаяк,авйамайаq,ав-йа-ма-йаq
авиамоделизм,авйамадилизым,ав-йа-ма-ди-ли-зым
авиамоделист,авйамадилис,ав-йа-ма-ди-лис
авиамодель,авйамадил,ав-йа-ма-дил
авиамотор,авйаматур,ав-йа-ма-тур
авиамәктәп,авйамәктәп,ав-йа-мәк-тәп
авианосец,авйанусис,ав-йа-ну-сис
авиаотряд,авйаатрәт,ав-йа-ат-рәт
авиапарк,авйапарек,ав-йа-па-рек
авиапочта,авйапучта,ав-йа-пуч-та
авиапромышленность,авйапрамышлинныс,ав-йа-пра-мыш-лин-ныс
авиаразведка,авйаразвидка,ав-йа-раз-вид-ка
авиасекстант,авйасикестант,ав-йа-си-кес-тант
авиаспорт,авйаспурт,ав-йа-спурт
авиатехник,авйатихник,ав-йа-тих-ник
авиатехника,авйатихника,ав-йа-тих-ни-ка
авиатор,авйатыр,ав-йа-тыр
авиатранспорт,авйатраныспырт,ав-йа-тра-ныс-пырт
авиатрасса,авйатрасса,ав-йа-трас-са
авиацион,авйатсийун,ав-йат-си-йун
авиация,авйатсийә,ав-йат-си-йә
авитаминоз,авитаминуз,а-ви-та-ми-нуз
аврал,аврал,ав-рал
австралия,авыстралийә,а-выс-тра-ли-йә
австрия,авыстрийә,а-выс-три-йә
австрияле,авыстрийәле,а-выс-три-йә-ле
автобаза,афтабаза,аф-та-ба-за
автобиографик,афтабиаграфик,аф-та-би-аг-ра-фик
автобиография,афтабийаграфийә,аф-та-би-йаг-ра-фи-йә
автоблокировка,афтаблакируфка,аф-та-бла-ки-руф-ка
автобус,афтубыс,аф-ту-быс
автовокзал,афтавакзал,аф-та-вак-зал
автоген,афтагин,аф-та-гин
автогенератор,афтагиниратыр,аф-та-ги-ни-ра-тыр
автогенчы,афтагинчы,аф-та-гин-чы
автограф,афтугрыф,аф-ту-грыф
автографик,афтаграфик,аф-та-гра-фик
автодиспетчерлык,афтадиспитчыр,аф-та-дис-пит-чыр
автодрезина,афтадризина,аф-та-дри-зи-на
автодром,афтадрум,аф-та-друм
автозавод,афтазавут,аф-та-за-вут
автоинспектор,афтаиныспиктыр,аф-та-и-ныс-пик-тыр
автоинспекция,афтаиныспиксийә,аф-та-и-ныс-пик-си-йә
автокамера,афтакамира,аф-та-ка-ми-ра
автокар,афтакар,аф-та-кар
автоклав,афтәклаф,аф-тә-клаф
автокласс,афтәклас,аф-тә-клас
автоколонна,афтакалунна,аф-та-ка-лун-на
автокомбинат,афтакамбинат,аф-та-кам-би-нат
автокран,афтәкран,аф-тә-кран
автократ,афтәкрат,аф-тә-крат
автократия,афтакратийә,аф-та-кра-ти-йә
автол,афтул,аф-тул
автолавка,афталафка,аф-та-лаф-ка
автолитография,афталитаграфийә,аф-та-ли-таг-ра-фи-йә
автомагистраль,афтамагистрәл,аф-та-ма-гис-трәл
автомат,афтамат,аф-та-мат
автоматизм,афтаматизым,аф-та-ма-ти-зым
автоматик,афтаматик,аф-та-ма-тик
автоматика,афтаматика,аф-та-ма-ти-ка
автоматла,афтаматла,аф-та-мат-ла
автоматлаштыр,афтаматлаштыр,аф-та-мат-лаш-тыр
автомашина,афтамашина,аф-та-ма-ши-на
автомашинист,афтамашинис,аф-та-ма-ши-нис
автомеханик,афтамиханик,аф-та-ми-ха-ник
автомобилизм,афтамабилизым,аф-та-ма-би-ли-зым
автомобиль,афтамабил,аф-та-ма-бил
автомоделист,афтамадилис,аф-та-ма-ди-лис
автомотоклуб,афтаматаклуп,аф-та-ма-та-клуп
автомотор,афтаматур,аф-та-ма-тур
автономик,афтанумик,аф-та-ну-мик
автономист,афтанамис,аф-та-на-мис
автономия,афтанумийә,аф-та-ну-ми-йә
автономлы,афтанумлы,аф-та-нум-лы
автономлык,афтанумлык,аф-та-нум-лык
автопавильон,афтапавилйун,аф-та-па-вил-йун
автопарк,афтапарык,аф-та-па-рык
автопилот,афтапилут,аф-та-пи-лут
автопоезд,афтапуйыз,аф-та-пу-йыз
автопокрышка,афтапакрышка,аф-та-па-крыш-ка
автопортрет,афтапартрит,аф-та-пар-трит
автопромышленность,афтапрамышлинныс,аф-та-пра-мыш-лин-ныс
автор,афтыр,аф-тыр
авторалли,афтаралли,аф-та-рал-ли
автордаш,афтырдаш,аф-тыр-даш
авторезина,афтаризина,аф-та-ри-зи-на
авторемонт,афтаримунт,аф-та-ри-мунт
автореферат,афтарифират,аф-та-ри-фи-рат
авторефрижератор,афтарифрижиратыр,аф-та-риф-ри-жи-ра-тыр
авторитар,афтаритар,аф-та-ри-тар
авторитет,афтаритит,аф-та-ри-тит
авторлаштыр,афтырлаштыр,аф-тыр-лаш-тыр
авторучка,автаручка,ав-та-руч-ка
автосабан,афтасабан,аф-та-са-бан
автосалон,афтасалун,аф-та-са-лун
автоспорт,афтаспурт,аф-тас-пурт
автострада,афтастрада,аф-тас-тра-да
автотранспорт,афтатраныспырт,аф-та-тра-ныс-пырт
автотрасса,афтатрасса,аф-та-трас-са
автотөягеч,афтатөйәгеч,аф-та-тө-йә-геч
автохтон,афтахтун,аф-тах-тун
автохуҗалык,афтахуҗалык,аф-та-ху-җа-лык
автоцистерна,афтасистирна,аф-та-сис-тир-на
агглютинатив,аглүтинатиф,аг-лү-ти-на-тиф
агглютинация,аглүтинатсейә,аг-лү-ти-нат-се-йә
агент,агинт,а-гинт
агентура,агинтура,а-гин-ту-ра
агит,агит,а-гит
агитатор,агитатыр,а-ги-та-тыр
агитацион,агитатсейун,а-ги-тат-се-йун
агитация,агитатсийә,а-ги-тат-си-йә
агитациялә,агитатсийәлә,а-ги-тат-си-йә-лә
агитбригада,агитбригада,а-гит-бри-га-да
агитвагон,агитвагун,а-гит-ва-гун
агитка,агитка,а-гит-ка
агиткампания,агиткампанийә,а-гит-кам-па-ни-йә
агитколлектив,агиткалликтиф,а-гит-кал-лик-тиф
агитплакат,агитплакат,а-гит-пла-кат
агитпоезд,агитпуйыз,а-гит-пу-йыз
агитпункт,агитпункет,а-гит-пун-кет
агитфильм,агитфилем,а-гит-фи-лем
агломерат,агламират,аг-ла-ми-рат
агломерация,агламиратсейә,аг-ла-ми-рат-се-йә
агностик,агнустик,аг-нус-тик
агностицизм,агнуститсизым,аг-нус-тит-си-зым
агония,агунийә,а-гу-ни-йә
аграр,аграр,аг-рар
аграрий,аграрий,аг-ра-рий
аграрчы,аграрчы,аг-рар-чы
агрегат,агригат,аг-ри-гат
агрегатлаштыр,агригатлаштыр,аг-ри-гат-лаш-тыр
агрегация,агригатсейә,аг-ри-гат-се-йә
агрессив,агриссиф,аг-рис-сиф
агрессия,агриссийә,аг-рис-си-йә
агрессор,агриссыр,аг-рис-сыр
агробаза,аграбаза,аг-ра-ба-за
агробиологик,аграбейалугик,аг-ра-бе-йа-лу-гик
агроботаник,аграбатаник,аг-ра-ба-та-ник
агроботаника,аграбатаника,аг-ра-ба-та-ни-ка
агрозоотехник,агразаатихник,аг-ра-за-а-тих-ник
агрозоотехника,агразаатихника,аг-ра-за-а-тих-ни-ка
агрокультура,агракүлтура,аг-ра-күл-ту-ра
агромаксимум,аграмаксимум,аг-ра-мак-си-мум
агромелиоратив,аграмилйаратиф,аг-ра-мил-йа-ра-тиф
агромелиоратор,аграмилйаратыр,аг-ра-мил-йа-ра-тыр
агромелиорация,аграмилйаратсийә,аг-ра-мил-йа-рат-си-йә
агрометеоролог,аграмитйарулыг,аг-ра-мит-йа-ру-лыг
агрометеорология,аграмитйаралугийә,аг-ра-мит-йа-ра-лу-ги-йә
агроминимум,аграминимум,аг-ра-ми-ни-мум
агроном,агранум,аг-ра-нум
агрономик,агранумик,аг-ра-ну-мик
агрономия,агранумийә,аг-ра-ну-ми-йә
агропропаганда,аграпрапаганда,аг-ра-пра-па-ган-да
агропункт,аграпункыт,аг-ра-пун-кыт
агрорайон,аграрайун,аг-ра-ра-йун
агротехник,агратихник,аг-ра-тих-ник
агротехника,агратихника,аг-ра-тих-ни-ка
агрофирма,аграфирма,аг-ра-фир-ма
агрохимия,аграхимийә,аг-ра-хи-ми-йә
агроэкономик,аграиканумик,аг-ра-и-ка-ну-мик
адажио,адажийу,а-да-жи-йу
адаптация,адаптатсийә,а-дап-тат-си-йә
адаптор,адаптыр,а-дап-тыр
адвербиаль,адвирбйәл,ад-вир-бйәл
адвокат,адвакат,ад-ва-кат
адвокатура,адвакатура,ад-ва-ка-ту-ра
аддисон,аддисун,ад-ди-сун
адекват,адикват,а-дик-ват
аденоид,адинуйет,а-ди-ну-йет
аденома,адинума,а-ди-ну-ма
адепт,адипыт,а-ди-пыт
административ,администратиф,ад-ми-нис-тра-тиф
администратор,администратыр,ад-ми-нис-тра-тыр
администрация,администратсийә,ад-ми-нис-трат-си-йә
адмирал,адмирал,ад-ми-рал
адмиралтейство,адмиралтийыствы,ад-ми-рал-ти-йыст-вы
адонис,адунис,а-ду-нис
адреналин,адриналин,ад-ри-на-лин
адрес,адрис,ад-рис
